x,y,ID,COOLING_DEGREE_DAYS,DIRECTION_MAX_GUST,TOTAL_PRECIPITATION,COOLING_DEGREE_DAYS_FLAG,TOTAL_RAIN_FLAG,TOTAL_SNOW,LOCAL_DAY,LOCAL_YEAR,SNOW_ON_GROUND_FLAG,HEATING_DEGREE_DAYS,LOCAL_MONTH,SNOW_ON_GROUND,MIN_TEMPERATURE,HEATING_DEGREE_DAYS_FLAG,PROVINCE_CODE,CLIMATE_IDENTIFIER,MEAN_TEMPERATURE_FLAG,STATION_NAME,SPEED_MAX_GUST,TOTAL_PRECIPITATION_FLAG,MAX_REL_HUMIDITY,TOTAL_SNOW_FLAG,TOTAL_RAIN,MIN_REL_HUMIDITY_FLAG,LOCAL_DATE,MEAN_TEMPERATURE,MAX_REL_HUMIDITY_FLAG,MAX_TEMPERATURE,SPEED_MAX_GUST_FLAG,MAX_TEMPERATURE_FLAG,MIN_TEMPERATURE_FLAG,MIN_REL_HUMIDITY,DIRECTION_MAX_GUST_FLAG
-127.18277777777777,54.82472222222222,1077500.1969.10.17,0,0,0,,,0,17,1969,,14.3,10,0,-4.4,,BC,1077500,,SMITHERS A,0,,96,,0,,1969-10-17 00:00:00,3.7,,11.7,,,,47,
-127.18277777777777,54.82472222222222,1077500.1969.10.18,0,0,0,,,0,18,1969,,17.7,10,0,-6.1,,BC,1077500,,SMITHERS A,0,,97,,0,,1969-10-18 00:00:00,0.3,,6.7,,,,70,
-127.18277777777777,54.82472222222222,1077500.1969.10.19,0,0,4.1,,,0,19,1969,,14.4,10,0,1.1,,BC,1077500,,SMITHERS A,0,,98,,4.1,,1969-10-19 00:00:00,3.6,,6.1,,,,85,
-127.18277777777777,54.82472222222222,1077500.1969.10.20,0,16,5.8,,,0,20,1969,,10.7,10,0,2.8,,BC,1077500,,SMITHERS A,32,,96,,5.8,,1969-10-20 00:00:00,7.3,,11.7,,,,52,
-127.18277777777777,54.82472222222222,1077500.1969.10.21,0,0,10.2,,,0,21,1969,,15.2,10,0,1.1,,BC,1077500,,SMITHERS A,0,,100,,10.2,,1969-10-21 00:00:00,2.8,,4.4,,,,83,
-127.18277777777777,54.82472222222222,1077500.1969.10.22,0,0,0,,T,0,22,1969,,14.7,10,0,-0.6,,BC,1077500,,SMITHERS A,0,T,97,,0,,1969-10-22 00:00:00,3.3,,7.2,,,,77,
-127.18277777777777,54.82472222222222,1077500.1969.10.23,0,0,0,,,0,23,1969,,15.8,10,0,-0.6,,BC,1077500,,SMITHERS A,0,T,100,T,0,,1969-10-23 00:00:00,2.2,,5,,,,70,
-127.18277777777777,54.82472222222222,1077500.1969.10.24,0,0,0,,,0,24,1969,,17.4,10,0,-1.1,,BC,1077500,,SMITHERS A,0,T,76,T,0,,1969-10-24 00:00:00,0.6,,2.2,,,,62,
-127.18277777777777,54.82472222222222,1077500.1969.10.25,0,0,0,,,0,25,1969,,20.5,10,0,-7.8,,BC,1077500,,SMITHERS A,0,,91,,0,,1969-10-25 00:00:00,-2.5,,2.8,,,,57,
-127.18277777777777,54.82472222222222,1077500.1969.10.26,0,0,0,,,0,26,1969,,20,10,0,-8.9,,BC,1077500,,SMITHERS A,0,,92,,0,,1969-10-26 00:00:00,-2,,5,,,,50,
