x,y,TOTAL_SNOW_FLAG,HEATING_DEGREE_DAYS,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,HEATING_DEGREE_DAYS_FLAG,COOLING_DEGREE_DAYS,MIN_REL_HUMIDITY,SNOW_ON_GROUND_FLAG,LOCAL_MONTH,LOCAL_YEAR,MIN_REL_HUMIDITY_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,MAX_REL_HUMIDITY,CLIMATE_IDENTIFIER,MAX_REL_HUMIDITY_FLAG,LOCAL_DAY,STATION_NAME,DIRECTION_MAX_GUST,MIN_TEMPERATURE,SPEED_MAX_GUST_FLAG,ID,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN_FLAG,LOCAL_DATE,TOTAL_SNOW,TOTAL_PRECIPITATION,SNOW_ON_GROUND,PROVINCE_CODE,MIN_TEMPERATURE_FLAG,COOLING_DEGREE_DAYS_FLAG,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,TOTAL_RAIN
-120.18194444444444,55.74166666666667,,17.7,0.3,,,0,,,3,1968,,7.8,,,1182285,,1,DAWSON CREEK A,,-7.2,,1182285.1968.3.1,,,1968-03-01 00:00:00,0,0,,BC,,,,,0
-120.18194444444444,55.74166666666667,,13,5,,,0,,,3,1968,,9.4,,,1182285,,2,DAWSON CREEK A,,0.6,,1182285.1968.3.2,,,1968-03-02 00:00:00,0,0,,BC,,,,,0
-120.18194444444444,55.74166666666667,,13.8,4.2,,,0,,,3,1968,,8.3,,,1182285,,3,DAWSON CREEK A,,0,,1182285.1968.3.3,,,1968-03-03 00:00:00,0,0,,BC,,,,,0
-120.18194444444444,55.74166666666667,,14.1,3.9,,,0,,,3,1968,,7.8,,,1182285,,4,DAWSON CREEK A,,0,,1182285.1968.3.4,,,1968-03-04 00:00:00,0,0,,BC,,,,,0
-120.18194444444444,55.74166666666667,,14.6,3.4,,,0,,,3,1968,,5.6,,,1182285,,5,DAWSON CREEK A,,1.1,,1182285.1968.3.5,,,1968-03-05 00:00:00,0,5.8,,BC,,,,,5.8
-120.18194444444444,55.74166666666667,T,14.3,3.7,,,0,,,3,1968,,5.6,,,1182285,,6,DAWSON CREEK A,,1.7,,1182285.1968.3.6,T,,1968-03-06 00:00:00,0,0,,BC,,,,,0
-120.18194444444444,55.74166666666667,,17.4,0.6,,,0,,,3,1968,,1.7,,,1182285,,7,DAWSON CREEK A,,-0.6,,1182285.1968.3.7,,,1968-03-07 00:00:00,0,0,,BC,,,,,0
-120.18194444444444,55.74166666666667,,20,-2,,,0,,,3,1968,,1.1,,,1182285,,8,DAWSON CREEK A,,-5,,1182285.1968.3.8,,,1968-03-08 00:00:00,0,0,,BC,,,,,0
-120.18194444444444,55.74166666666667,T,20.5,-2.5,,,0,,,3,1968,,-1.1,,,1182285,,9,DAWSON CREEK A,,-3.9,,1182285.1968.3.9,T,,1968-03-09 00:00:00,0,0,,BC,,,,,0
-120.18194444444444,55.74166666666667,T,21.6,-3.6,,,0,,,3,1968,,0,,,1182285,,10,DAWSON CREEK A,,-7.2,,1182285.1968.3.10,T,,1968-03-10 00:00:00,0,0,,BC,,,,,0
-120.18194444444444,55.74166666666667,,25,-7,,,0,,,3,1968,,-2.8,,,1182285,,11,DAWSON CREEK A,,-11.1,,1182285.1968.3.11,,,1968-03-11 00:00:00,3,3,,BC,,,,,0
-120.18194444444444,55.74166666666667,,25,-7,,,0,,,3,1968,,-5.6,,,1182285,,12,DAWSON CREEK A,,-8.3,,1182285.1968.3.12,,,1968-03-12 00:00:00,11.4,11.4,,BC,,,,,0
-120.18194444444444,55.74166666666667,,27.2,-9.2,,,0,,,3,1968,,-5.6,,,1182285,,13,DAWSON CREEK A,,-12.8,,1182285.1968.3.13,,,1968-03-13 00:00:00,3.6,3.6,,BC,,,,,0
-120.18194444444444,55.74166666666667,,31.4,-13.4,,,0,,,3,1968,,-3.9,,,1182285,,14,DAWSON CREEK A,,-22.8,,1182285.1968.3.14,,,1968-03-14 00:00:00,4.1,4.1,,BC,,,,,0
-120.18194444444444,55.74166666666667,,23.9,-5.9,,,0,,,3,1968,,-3.9,,,1182285,,15,DAWSON CREEK A,,-7.8,,1182285.1968.3.15,,,1968-03-15 00:00:00,6.9,6.9,,BC,,,,,0
-120.18194444444444,55.74166666666667,,28.3,-10.3,,,0,,,3,1968,,-8.9,,,1182285,,16,DAWSON CREEK A,,-11.7,,1182285.1968.3.16,,,1968-03-16 00:00:00,5.1,5.1,,BC,,,,,0
-120.18194444444444,55.74166666666667,T,33.8,-15.8,,,0,,,3,1968,,-9.4,,,1182285,,17,DAWSON CREEK A,,-22.2,,1182285.1968.3.17,T,,1968-03-17 00:00:00,0,0,,BC,,,,,0
-120.18194444444444,55.74166666666667,,35.5,-17.5,,,0,,,3,1968,,-7.8,,,1182285,,18,DAWSON CREEK A,,-27.2,,1182285.1968.3.18,,,1968-03-18 00:00:00,0.5,0.5,,BC,,,,,0
-120.18194444444444,55.74166666666667,,31.6,-13.6,,,0,,,3,1968,,-3.9,,,1182285,,19,DAWSON CREEK A,,-23.3,,1182285.1968.3.19,,,1968-03-19 00:00:00,0,0,,BC,,,,,0
-120.18194444444444,55.74166666666667,,19.7,-1.7,,,0,,,3,1968,,9.4,,,1182285,,20,DAWSON CREEK A,,-12.8,,1182285.1968.3.20,,,1968-03-20 00:00:00,0,0,,BC,,,,,0
-120.18194444444444,55.74166666666667,,17.4,0.6,,,0,,,3,1968,,11.1,,,1182285,,21,DAWSON CREEK A,,-10,,1182285.1968.3.21,,,1968-03-21 00:00:00,0,0,,BC,,,,,0
-120.18194444444444,55.74166666666667,,11.3,6.7,,,0,,,3,1968,,12.8,,,1182285,,22,DAWSON CREEK A,,0.6,,1182285.1968.3.22,,,1968-03-22 00:00:00,0,0,,BC,,,,,0
-120.18194444444444,55.74166666666667,,11.9,6.1,,,0,,,3,1968,,9.4,,,1182285,,23,DAWSON CREEK A,,2.8,,1182285.1968.3.23,,,1968-03-23 00:00:00,0,2,,BC,,,,,2
-120.18194444444444,55.74166666666667,,13.5,4.5,,,0,,,3,1968,,8.9,,,1182285,,24,DAWSON CREEK A,,0,,1182285.1968.3.24,T,T,1968-03-24 00:00:00,0,0,,BC,,,,,0
-120.18194444444444,55.74166666666667,,14.1,3.9,,,0,,,3,1968,,7.8,,,1182285,,25,DAWSON CREEK A,,0,,1182285.1968.3.25,,,1968-03-25 00:00:00,0,0,,BC,,,,,0
-120.18194444444444,55.74166666666667,,14.1,3.9,,,0,,,3,1968,,7.8,,,1182285,,26,DAWSON CREEK A,,0,,1182285.1968.3.26,,,1968-03-26 00:00:00,0,0,,BC,,,,,0
-120.18194444444444,55.74166666666667,T,14.9,3.1,,,0,,,3,1968,,6.1,,,1182285,,27,DAWSON CREEK A,,0,,1182285.1968.3.27,T,,1968-03-27 00:00:00,0,0,,BC,,,,,0
-120.18194444444444,55.74166666666667,,15.8,2.2,,,0,,,3,1968,,6.1,,,1182285,,28,DAWSON CREEK A,,-1.7,,1182285.1968.3.28,,,1968-03-28 00:00:00,0,0,,BC,,,,,0
-120.18194444444444,55.74166666666667,,18,0,,,0,,,3,1968,,5,,,1182285,,29,DAWSON CREEK A,,-5,,1182285.1968.3.29,,,1968-03-29 00:00:00,0,0,,BC,,,,,0
-120.18194444444444,55.74166666666667,T,20.8,-2.8,,,0,,,3,1968,,0,,,1182285,,30,DAWSON CREEK A,,-5.6,,1182285.1968.3.30,T,,1968-03-30 00:00:00,0,0,,BC,,,,,0
-120.18194444444444,55.74166666666667,,19.7,-1.7,,,0,,,3,1968,,1.1,,,1182285,,31,DAWSON CREEK A,,-4.4,,1182285.1968.3.31,,,1968-03-31 00:00:00,0,0,,BC,,,,,0
-120.18194444444444,55.74166666666667,,22.5,-4.5,,,0,,,4,1968,,1.1,,,1182285,,1,DAWSON CREEK A,,-10,,1182285.1968.4.1,,,1968-04-01 00:00:00,0,0,,BC,,,,,0
-120.18194444444444,55.74166666666667,,22.5,-4.5,,,0,,,4,1968,,2.8,,,1182285,,2,DAWSON CREEK A,,-11.7,,1182285.1968.4.2,,,1968-04-02 00:00:00,0,0,,BC,,,,,0
-120.18194444444444,55.74166666666667,T,16,2,,,0,,,4,1968,,10,,,1182285,,3,DAWSON CREEK A,,-6.1,,1182285.1968.4.3,T,T,1968-04-03 00:00:00,0,0,,BC,,,,,0
-120.18194444444444,55.74166666666667,,13.5,4.5,,,0,,,4,1968,,10,,,1182285,,4,DAWSON CREEK A,,-1.1,,1182285.1968.4.4,T,T,1968-04-04 00:00:00,0,0,,BC,,,,,0
-120.18194444444444,55.74166666666667,,13.5,4.5,,,0,,,4,1968,,8.9,,,1182285,,5,DAWSON CREEK A,,0,,1182285.1968.4.5,,,1968-04-05 00:00:00,0,0,,BC,,,,,0
-120.18194444444444,55.74166666666667,,13,5,,,0,,,4,1968,,9.4,,,1182285,,6,DAWSON CREEK A,,0.6,,1182285.1968.4.6,,T,1968-04-06 00:00:00,0.5,0.5,,BC,,,,,0
-120.18194444444444,55.74166666666667,,14.9,3.1,,,0,,,4,1968,,7.8,,,1182285,,7,DAWSON CREEK A,,-1.7,,1182285.1968.4.7,,,1968-04-07 00:00:00,1.8,1.8,,BC,,,,,0
-120.18194444444444,55.74166666666667,,11.8,6.2,,,0,,,4,1968,,10.6,,,1182285,,8,DAWSON CREEK A,,1.7,,1182285.1968.4.8,,,1968-04-08 00:00:00,0,0,,BC,,,,,0
-120.18194444444444,55.74166666666667,,8.8,9.2,,,0,,,4,1968,,15,,,1182285,,9,DAWSON CREEK A,,3.3,,1182285.1968.4.9,,,1968-04-09 00:00:00,0,0,,BC,,,,,0
-120.18194444444444,55.74166666666667,,14.3,3.7,,,0,,,4,1968,,6.7,,,1182285,,10,DAWSON CREEK A,,0.6,,1182285.1968.4.10,,,1968-04-10 00:00:00,0,0,,BC,,,,,0
-120.18194444444444,55.74166666666667,T,20.5,-2.5,,,0,,,4,1968,,0,,,1182285,,11,DAWSON CREEK A,,-5,,1182285.1968.4.11,T,,1968-04-11 00:00:00,0,0,,BC,,,,,0
-120.18194444444444,55.74166666666667,,21.4,-3.4,,,0,,,4,1968,,4.4,,,1182285,,12,DAWSON CREEK A,,-11.1,,1182285.1968.4.12,,,1968-04-12 00:00:00,0,0,,BC,,,,,0
-120.18194444444444,55.74166666666667,T,16,2,,,0,,,4,1968,,6.7,,,1182285,,13,DAWSON CREEK A,,-2.8,,1182285.1968.4.13,T,,1968-04-13 00:00:00,0,0,,BC,,,,,0
-120.18194444444444,55.74166666666667,,15.7,2.3,,,0,,,4,1968,,6.7,,,1182285,,14,DAWSON CREEK A,,-2.2,,1182285.1968.4.14,,,1968-04-14 00:00:00,8.6,8.6,,BC,,,,,0
-120.18194444444444,55.74166666666667,,17.1,0.9,,,0,,,4,1968,,3.9,,,1182285,,15,DAWSON CREEK A,,-2.2,,1182285.1968.4.15,,,1968-04-15 00:00:00,0,0,,BC,,,,,0
-120.18194444444444,55.74166666666667,T,20,-2,,,0,,,4,1968,,6.1,,,1182285,,16,DAWSON CREEK A,,-10,,1182285.1968.4.16,T,,1968-04-16 00:00:00,0,0,,BC,,,,,0
-120.18194444444444,55.74166666666667,,15.2,2.8,,,0,,,4,1968,,6.7,,,1182285,,17,DAWSON CREEK A,,-1.1,,1182285.1968.4.17,,,1968-04-17 00:00:00,0,0,,BC,,,,,0
-120.18194444444444,55.74166666666667,,13.2,4.8,,,0,,,4,1968,,8.9,,,1182285,,18,DAWSON CREEK A,,0.6,,1182285.1968.4.18,,,1968-04-18 00:00:00,0,0,,BC,,,,,0
-120.18194444444444,55.74166666666667,,15.7,2.3,,,0,,,4,1968,,6.7,,,1182285,,19,DAWSON CREEK A,,-2.2,,1182285.1968.4.19,,,1968-04-19 00:00:00,0,0,,BC,,,,,0
-120.18194444444444,55.74166666666667,T,17.1,0.9,,,0,,,4,1968,,5.6,,,1182285,,20,DAWSON CREEK A,,-3.9,,1182285.1968.4.20,T,,1968-04-20 00:00:00,0,0,,BC,,,,,0
-120.18194444444444,55.74166666666667,T,17.2,0.8,,,0,,,4,1968,,7.2,,,1182285,,21,DAWSON CREEK A,,-5.6,,1182285.1968.4.21,T,,1968-04-21 00:00:00,0,0,,BC,,,,,0
-120.18194444444444,55.74166666666667,,16.3,1.7,,,0,,,4,1968,,11.1,,,1182285,,22,DAWSON CREEK A,,-7.8,,1182285.1968.4.22,,,1968-04-22 00:00:00,0,0,,BC,,,,,0
-120.18194444444444,55.74166666666667,,11,7,,,0,,,4,1968,,12.8,,,1182285,,23,DAWSON CREEK A,,1.1,,1182285.1968.4.23,,,1968-04-23 00:00:00,0,0,,BC,,,,,0
-120.18194444444444,55.74166666666667,,11.3,6.7,,,0,,,4,1968,,11.1,,,1182285,,24,DAWSON CREEK A,,2.2,,1182285.1968.4.24,,,1968-04-24 00:00:00,0,0,,BC,,,,,0
-120.18194444444444,55.74166666666667,,12.4,5.6,,,0,,,4,1968,,11.7,,,1182285,,25,DAWSON CREEK A,,-0.6,,1182285.1968.4.25,,,1968-04-25 00:00:00,0,1.3,,BC,,,,,1.3
-120.18194444444444,55.74166666666667,,11.9,6.1,,,0,,,4,1968,,14.4,,,1182285,,26,DAWSON CREEK A,,-2.2,,1182285.1968.4.26,,,1968-04-26 00:00:00,0,0,,BC,,,,,0
-120.18194444444444,55.74166666666667,,7.7,10.3,,,0,,,4,1968,,15.6,,,1182285,,27,DAWSON CREEK A,,5,,1182285.1968.4.27,T,T,1968-04-27 00:00:00,0,0,,BC,,,,,0
-120.18194444444444,55.74166666666667,,6.3,11.7,,,0,,,4,1968,,16.7,,,1182285,,28,DAWSON CREEK A,,6.7,,1182285.1968.4.28,,,1968-04-28 00:00:00,0,0,,BC,,,,,0
-120.18194444444444,55.74166666666667,,8,10,,,0,,,4,1968,,14.4,,,1182285,,29,DAWSON CREEK A,,5.6,,1182285.1968.4.29,,,1968-04-29 00:00:00,0,0,,BC,,,,,0
-120.18194444444444,55.74166666666667,,13.3,4.7,,,0,,,4,1968,,9.4,,,1182285,,30,DAWSON CREEK A,,0,,1182285.1968.4.30,,,1968-04-30 00:00:00,0,0.5,,BC,,,,,0.5
-120.18194444444444,55.74166666666667,,9.7,8.3,,,0,,,5,1968,,14.4,,,1182285,,1,DAWSON CREEK A,,2.2,,1182285.1968.5.1,,,1968-05-01 00:00:00,0,0,,BC,,,,,0
-120.18194444444444,55.74166666666667,,13.2,4.8,,,0,,,5,1968,,13.9,,,1182285,,2,DAWSON CREEK A,,-4.4,,1182285.1968.5.2,,,1968-05-02 00:00:00,0,0,,BC,,,,,0
-120.18194444444444,55.74166666666667,,12.2,5.8,,,0,,,5,1968,,13.3,,,1182285,,3,DAWSON CREEK A,,-1.7,,1182285.1968.5.3,,,1968-05-03 00:00:00,0,0,,BC,,,,,0
-120.18194444444444,55.74166666666667,,16,2,,,0,,,5,1968,,10.6,,,1182285,,4,DAWSON CREEK A,,-6.7,,1182285.1968.5.4,,,1968-05-04 00:00:00,0,0.5,,BC,,,,,0.5
-120.18194444444444,55.74166666666667,,15.5,2.5,,,0,,,5,1968,,3.3,,,1182285,,5,DAWSON CREEK A,,1.7,,1182285.1968.5.5,,,1968-05-05 00:00:00,0,5.3,,BC,,,,,5.3
